"generic_name","doses_given_2023","number_of_manufacturers_2019","number_of_manufacturers_2020","number_of_manufacturers_2021","number_of_manufacturers_2022","number_of_manufacturers_2023","manufacturer_2019","brand_name_2019","max_cost_per_dose_2019","min_cost_per_dose_2019","max_cost_per_dose_2020","min_cost_per_dose_2020","max_cost_per_dose_2021","min_cost_per_dose_2021","max_cost_per_dose_2022","min_cost_per_dose_2022","max_cost_per_dose_2023","min_cost_per_dose_2023","price_drop","price_drop_percentage","change_in_manufacturers"
"Alirocumab",1840124.32,1,1,2,2,2,"Sanofi/Regenero","Praluent Pen",450.8039814,450.8039814,294.1696843,294.1696843,244.6307234,235.3622956,282.7870409,244.6453983,258.683585,243.971539,-206.8324424,-0.458807931903505,1
"Ampicillin Trihydrate",2610608,1,1,1,1,2,"Sandoz","Ampicillin Trihydrate",0.46270179,0.46270179,0.493341478,0.493341478,0.493674966,0.493674966,0.498583688,0.498583688,0.490062838,0.461289931,-0.00141185900000002,-0.00305133680161474,1
"Apremilast",11001585,1,2,2,2,2,"Celgene/Amgen","Otezla",57.65642301,57.65642301,60.60361489,60.54981859,66.08619567,66.08129709,73.37766046,73.03123425,79.73343764,75.45707877,17.80065576,0.308736734446961,1
"Arformoterol Tartrate",1045058,1,1,4,6,7,"Sunovion-Sumito","Brovana",9.09950938,9.09950938,9.467419386,9.467419386,9.226967356,5.154415321,7.515834834,4.439780619,6.901051553,4.349169148,-4.750340232,-0.522043555715308,6
"Asenapine Maleate",4268352,1,5,5,5,5,"Forest/Allergan","Saphris",20.55247756,20.55247756,20.6130066,3.206201524,19.99720376,3.369766546,20.14634554,3.404810881,20.69695186,3.339273443,-17.213204117,-0.837524530400217,4
"Azelastine/Fluticasone",3485014.701,1,3,4,4,4,"Meda/Mylan Spec","Dymista",8.152967577,8.152967577,8.692637877,6.831392767,8.776697703,5.734292419,9.13857011,5.620712967,9.306569271,5.446547887,-2.70641969,-0.331955164109197,3
"Brimonidine Tartrate/Timolol",8925145.02,1,1,1,5,6,"Allergan Inc.","Combigan",35.68271332,35.68271332,37.48263191,37.48263191,39.89223673,39.89223673,42.23113485,29.82991607,43.39918673,24.04752557,-11.63518775,-0.326073514804115,5
"Budesonide/Formoterol Fumarate",57255764.56,1,2,2,2,3,"Astrazeneca","Symbicort",33.66581036,33.66581036,35.17807125,27.57284131,36.76527802,26.97131633,37.73523653,27.55610792,38.98229787,19.39012042,-14.27568994,-0.424041179681855,2
"Clemastine Fumarate",1710379,1,1,2,2,2,"Teva USA","Clemastine Fumarate",0.921692085,0.921692085,1.021113566,1.021113566,14.73892418,1.053505825,15.41958599,1.118150768,13.82886719,1.252341539,0.330649454,0.358741774374682,1
"Dabigatran Etexilate Mesylate",93923718,1,1,1,3,4,"Boehringer Ing.","Pradaxa",6.210103787,6.210103787,6.175706578,6.175706578,6.13740101,6.13740101,6.46584177,5.300724213,6.288648092,2.44054512,-3.769558667,-0.607004133311114,3
"Darunavir",3223675,1,1,1,1,6,"Janssen Product","Prezista",48.18417196,48.18417196,50.20003967,50.20003967,53.16251203,53.16251203,56.86141753,56.86141753,60.79450197,18.24958519,-29.93458677,-0.621253526881195,5
"Deutetrabenazine",11110155.5,1,1,1,1,3,"Teva USA","Austedo",79.67824445,79.67824445,84.76217372,84.76217372,90.24322891,90.24322891,97.26327717,97.26327717,192.8207283,103.6120842,23.93383975,0.300381113002798,2
"Dexlansoprazole",51087555.7,1,1,1,3,3,"Takeda Pharmace","Dexilant",9.485619452,9.485619452,9.812280193,9.812280193,10.59984262,10.59984262,10.76979218,7.593696536,10.63572843,7.294278984,-2.191340468,-0.231017117974089,2
"Dimethyl Fumarate",5532253,1,7,9,9,11,"Biogen-Idec","Tecfidera",134.4358058,134.4358058,142.0241328,52.45613779,142.4293167,33.10553911,145.4175212,16.93761455,159.2787636,13.09593057,-121.33987523,-0.902585992682018,10
"Dipyridamole",1814367,1,1,2,5,5,"Rising Pharm","Dipyridamole",0.682867691,0.682867691,1.045322256,1.045322256,1.181608098,1.131107112,1.548835031,0.449443697,1.32501081,0.378909498,-0.303958193,-0.445120185075501,4
"Dolutegravir Sodium",8803563,1,1,2,2,2,"Viiv Healthcare","Tivicay",59.17442802,59.17442802,62.13262739,62.13262739,66.18827872,6.735771772,69.97940704,7.230005848,74.72158368,7.704765591,-51.469662429,-0.869795689644927,1
"Droxidopa",5026358.994,1,1,10,11,12,"Lundbeck Inc.","Northera",62.04649982,62.04649982,66.07038152,66.07038152,71.80646011,4.405649843,80.4627494,6.099404366,86.8943169,7.057718402,-54.988781418,-0.886251143537914,11
"Dupilumab",1808642.52,1,2,2,2,2,"Sanofi-Aventis","Dupixent Syringe",790.8595318,790.8595318,817.4903231,791.191645,852.4744826,823.2082891,905.3958932,885.4821187,966.0878581,951.7168417,160.8573099,0.203395550577595,1
"Edaravone",2817515,1,1,1,2,2,"Mitsubishi Tana","Radicava",5.724729953,5.724729953,5.513776264,5.513776264,6.006448981,6.006448981,265.4338773,6.199745512,271.0427121,6.38579049,0.661060537,0.115474536340981,1
"Emtricitabine/Tenofovir (Tdf)",2864491,1,2,12,14,15,"Gilead Sciences","Truvada",59.28573877,59.28573877,62.56215637,50.03807807,61.69503546,16.37118196,60.69914342,2.32889944,61.86831768,1.496786189,-57.788952581,-0.974753014467665,14
"Etravirine",1827155,1,1,2,3,4,"Janssen Product","Intelence",22.06679887,22.06679887,22.53438272,22.53438272,23.41705252,18.95354356,23.66654804,18.22567083,23.29152711,16.85389502,-5.21290385,-0.236232898152119,3
"Fesoterodine Fumarate",9539366.5,1,1,1,5,7,"Pfizer US Pharm","Toviaz",11.09298376,11.09298376,11.75833593,11.75833593,12.26975949,12.26975949,12.88852321,3.243435717,11.8359113,3.221694998,-7.871288762,-0.709573630710877,6
"Fingolimod HCl",1076153,1,1,1,9,11,"Novartis","Gilenya",280.4410262,280.4410262,297.0795945,297.0795945,315.0590134,315.0590134,335.1229376,23.51547312,356.5205079,71.64463153,-208.79639467,-0.74452870715533,10
"Flunisolide",2026303.833,1,1,1,2,2,"Bausch & Lomb I","Flunisolide",2.215007117,2.215007117,2.192027553,2.192027553,2.217260809,2.217260809,2.206255532,1.919143175,2.07019846,1.750196073,-0.464811044,-0.209846298204919,1
"Fluticasone/Vilanterol",206871887,1,1,1,2,2,"Glaxosmithkline","Breo Ellipta",5.94542235,5.94542235,6.130210244,6.130210244,6.414867487,6.414867487,6.675329,6.319936786,6.935865788,5.85089238,-0.09452997,-0.0158996223371751,1
"Formoterol Fumarate",1090073,1,1,3,5,7,"Mylan Specialty","Perforomist",8.803982652,8.803982652,9.26388006,9.26388006,9.730232383,7.619631518,9.000327971,6.31802546,8.358075829,5.513476885,-3.290505767,-0.373751959433098,6
"Hydrocodone Bitartrate",1707433,1,2,2,2,2,"Purdue Pharma L","Hysingla ER",16.92186888,16.92186888,17.79131359,7.483330815,18.6959973,9.997574431,19.77836441,10.06201693,20.59487564,9.684685223,-7.237183657,-0.427682291378209,1
"Ibuprofen/FAmotidine",1530660,1,1,3,4,5,"Horizon/Amgen","Duexis",27.8191868,27.8191868,27.98407927,27.98407927,28.4593934,7.436015075,28.10331039,6.092581386,28.17968249,4.581085985,-23.238100815,-0.835326387577943,4
"Icosapent Ethyl",357619258.2,1,2,3,5,7,"Amarin Pharma I","Vascepa",2.533222906,2.533222906,2.770944071,2.229316703,2.932783032,2.230882471,3.082529639,1.379093763,3.129286645,1.343242023,-1.189980883,-0.469749772190004,6
"Lacosamide",89508485.5,1,1,1,12,21,"UCB Pharma*","Vimpat*",13.97441846,13.97441846,14.39056688,14.39056688,15.25473358,15.25473358,15.57685129,1.855282876,17.16310309,0.638885609,-13.335532851,-0.954281774885393,20
"Lenalidomide",6858522,1,1,1,7,11,"Celgene/BMS","Revlimid",745.588496,745.588496,794.3280265,794.3280265,840.1744443,840.1744443,883.0961774,640.6025945,878.2121963,641.7003771,-103.8881189,-0.1393370732748,10
"Lifitegrast",39876358,1,2,2,2,2,"Shire/Novartis","Xiidra",8.660483666,8.660483666,9.23215433,9.162844155,9.934786976,9.460550169,10.85917037,9.63980944,11.8545676,9.069381944,0.408898278000001,0.047214254280657,1
"Lisdexamfetamine Dimesylate",12944272,1,1,1,1,10,"Takeda Pharmace","Vyvanse",10.36566685,10.36566685,10.96572114,10.96572114,11.64310577,11.64310577,12.32704165,12.32704165,13.04336705,4.698509974,-5.667156876,-0.546723810248638,9
"Lubiprostone",26506951,1,1,2,2,8,"Takeda Pharmace","Amitiza",6.298372808,6.298372808,6.327606163,6.327606163,6.313251915,5.313482992,6.259049014,5.303263654,6.245550299,2.034909652,-4.263463156,-0.676915020111969,7
"Maraviroc",1210221,1,1,1,2,3,"Viiv Healthcare","Selzentry",26.50085065,26.50085065,26.49207113,26.49207113,26.94502563,26.94502563,28.43550606,21.9369408,29.81509359,18.88952381,-7.61132684,-0.28721066129249,2
"Mexiletine HCl",11739843.849,1,3,4,5,6,"Teva USA","Mexiletine HCl",1.332526954,1.332526954,1.295617228,1.021746222,1.289618849,0.90039184,1.278912956,0.968357788,1.194202462,0.927618421,-0.404908533,-0.303865172696537,5
"Mupirocin Calcium",1785926.993,1,2,4,6,7,"Glenmark Pharma","Mupirocin",9.457112418,9.457112418,10.1407162,10.03193654,9.646296372,9.352397903,9.426885791,1.456520514,7.630891147,1.406437453,-8.050674965,-0.851282570108495,6
"Naproxen/Esomeprazole Mag",1392650,1,3,4,4,5,"Horizon Pharma","Vimovo",41.44484767,41.44484767,41.80027393,29.93199884,42.48186094,28.2757209,43.65654922,24.07375491,44.29962705,19.96941141,-21.47543626,-0.51816902383128,4
"Nebivolol HCl",95029414.35,1,1,6,9,10,"Forest/Allergan","Bystolic",4.779391224,4.779391224,5.022021761,5.022021761,5.302904933,1.651333694,4.509477392,1.132590059,5.134934318,1.149296491,-3.630094733,-0.759530777637801,9
"Ospemifene",1001169,1,1,1,1,2,"Shionogi Pharma","Osphena",7.042994554,7.042994554,7.428216133,7.428216133,7.839207829,7.839207829,8.360049182,8.360049182,8.464480607,8.413340917,1.370346363,0.194568709728978,1
"Pen Needle,Dual Safety,Diabetc",29986739.68,1,2,2,2,2,"Bd Diabetes/Emb","Autoshield Duo Pen Needle",0.724292618,0.724292618,0.762779627,0.595283304,0.804337874,0.639356245,0.870661205,0.613504285,0.921828124,0.558825531,-0.165467087,-0.228453366619843,1
"Piperacillin-Tazo-Dextrose,Iso",1516466.67,1,1,1,1,2,"Pfizer/Baxter","Zosyn",0.403936299,0.403936299,0.398945235,0.398945235,0.406211339,0.406211339,0.405162072,0.405162072,0.40289186,0.391931323,-0.012004976,-0.029719973247564,1
"Pirfenidone",10132314.991,1,1,1,9,10,"Genentech, Inc.","Esbriet",57.47945419,57.47945419,62.91285437,62.91285437,67.15933324,67.15933324,66.34810259,20.84547117,68.24719776,10.96731044,-46.51214375,-0.80919598847012,9
"Pitavastatin Calcium",18038969.5,1,1,1,1,6,"Kowa Pharmaceut","Livalo",9.77490269,9.77490269,10.2316316,10.2316316,10.75827565,10.75827565,10.85495095,10.85495095,10.9181415,4.373368794,-5.401533896,-0.552592088873265,5
"Plecanatide",6371221.133,1,2,2,2,2,"Synergy/Bausch","Trulance",13.90517046,13.90517046,14.57125696,14.53473702,16.01514668,15.63051025,17.4396659,17.11073169,18.72078075,16.5983871,2.69321664,0.193684546891919,1
"Prochlorperazine Maleate",32403126.89,1,1,2,4,7,"Jubilant Cadist","Prochlorperazine Maleate",0.291296971,0.291296971,0.401466921,0.401466921,0.483689404,0.404017883,1.101775701,0.377716072,4.55017199,0.32056567,0.029268699,0.100477182785399,6
"Roflumilast",14906196,1,1,1,7,9,"Astrazeneca","Daliresp",12.24590596,12.24590596,12.65260457,12.65260457,13.8255405,13.8255405,14.52506004,0.875631164,14.47646293,1.956546701,-10.289359259,-0.840228505151774,8
"Rufinamide",8720464.001,1,2,7,8,9,"Eisai Inc.","Banzel",20.09131178,20.09131178,21.43002328,3.138865825,22.56308802,2.695337762,21.81203578,2.681295518,22.65030316,2.478135605,-17.613176175,-0.876656356133656,8
"Ruxolitinib Phosphate",8672030,1,1,2,2,2,"Incyte Corporat","Jakafi",228.1393455,228.1393455,237.3902625,237.3902625,257.3017151,33.50327778,280.084445,33.77553713,297.884419,35.11399957,-193.02534593,-0.846085297154497,1
"Saxagliptin HCl",4074690.999,1,1,1,1,4,"Astrazeneca","Onglyza",14.11416013,14.11416013,14.48253062,14.48253062,15.40031437,15.40031437,15.91630884,15.91630884,16.47358528,5.4122565,-8.70190363,-0.616537119449558,3
"Saxagliptin HCl/Metformin HCl",2066427,1,1,1,1,3,"Astrazeneca","Kombiglyze XR",10.22002118,10.22002118,10.51305596,10.51305596,11.13366621,11.13366621,11.46535321,11.46535321,11.89707116,7.479140722,-2.740880458,-0.268187355948317,2
"Sodium Oxybate",4156246,1,1,1,1,4,"Jazz Pharmaceut","Xyrem",27.73454171,27.73454171,30.92004367,30.92004367,33.42627279,33.42627279,35.3457394,35.3457394,462.6874768,32.26567232,4.53113061,0.163374994884673,3
"Sodium, Potassium,Mag Sulfates",222270102.8,1,1,1,3,3,"Braintree/Sebel","Suprep",0.282219952,0.282219952,0.29674738,0.29674738,0.311571678,0.311571678,0.320556064,0.223723211,0.325067049,0.20706759,-0.075152362,-0.266290038912628,2
"Tafluprost/PF",3964393.5,1,1,1,4,5,"Akorn Inc/Thea","Zioptan",6.975125342,6.975125342,7.145195997,7.145195997,7.219151846,7.219151846,7.852586113,5.437234742,8.150858419,4.150987664,-2.824137678,-0.404887014860471,4
"Terazosin HCl",128181947,1,2,3,3,5,"Jubilant Cadist","Terazosin HCl",0.250129479,0.250129479,0.346648719,0.273979711,0.316058907,0.159472461,0.314016307,0.274640227,3.363204404,0.278459157,0.028329678,0.113260052806491,4
"Teriflunomide",2121293,1,1,1,1,9,"Sanofi-Aventis","Aubagio",252.1129012,252.1129012,265.0819945,265.0819945,282.226601,282.226601,300.9439195,300.9439195,320.8130023,53.16686338,-198.94603782,-0.789114864305088,8
"Timolol Maleate/PF",2389463,1,2,3,5,7,"Bausch Health U","Timoptic Ocudose",7.851643064,7.851643064,8.371296985,6.298847483,8.833998462,5.879059923,9.341549962,4.918772661,10.22311473,4.475265242,-3.376377822,-0.430021817660151,6
"Treprostinil Diolamine",1969015,1,1,1,1,4,"United Therap","Orenitram ER",65.22887832,65.22887832,75.00480205,75.00480205,79.29615446,79.29615446,85.5081482,85.5081482,100.474493,8.689638889,-56.539239431,-0.866782334560923,3
"Varenicline Tartrate",33116680.39,1,1,4,4,9,"Pfizer US Pharm","Chantix",7.856623857,7.856623857,8.257931043,8.257931043,71.82603344,6.497697557,72.88698425,6.299801514,78.83355534,4.69802574,-3.158598117,-0.40202995262218,8
"Vilazodone HCl",14403790.1,1,1,1,5,9,"Allergan Inc.","Viibryd",9.202673577,9.202673577,9.672542042,9.672542042,10.30832302,10.30832302,10.7812222,4.016953979,11.35534862,2.12150612,-7.081167457,-0.769468502577096,8
